album_id,artist_id
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,4
23,4
24,4
25,4
26,5
27,5
28,5
29,5
30,6
31,6
32,6
33,6
34,7
35,7
36,7
37,7
38,8
39,8
40,8
41,8
42,9
43,9
44,9
45,9
46,10
47,10
48,10
49,10
50,11
51,11
52,11
53,11
54,12
55,12
56,12
57,12
58,12
59,13
60,13
61,13
62,13
63,13
64,14
65,14
66,14
67,14
68,14
69,15
70,15
71,15
72,15
73,15
74,16
75,16
76,16
77,16
78,16
81,17
82,17
83,17
84,17
85,17
86,18
87,18
88,18
89,18
90,18
91,19
92,19
93,19
94,19
95,19
96,20
97,20
98,20
99,20
100,20
101,21
102,21
103,21
104,21
105,21
106,22
107,22
108,22
109,22
110,22
111,23
112,23
113,23
114,24
115,24
116,24
117,25
118,25
119,25
120,26
121,26
122,26
123,27
124,27
125,27
126,28
127,28
128,28
129,29
130,29
131,29
132,30
133,30
134,30
135,31
136,31
137,31
138,32
139,32
140,32
141,33
142,33
143,33
